,,,,Marketwise Price & Arrival Report (08-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 08 Mar, 2026","Price on 07 Mar, 2026","Price on 06 Mar, 2026","Arrival on 08 Mar, 2026","Arrival on 07 Mar, 2026","Arrival on 06 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1800.00,1738.93,1730.00,20.00,58.39,19.23
Cereals,Barley(Jau),1980.00,1926.37,1971.55,1842.40,93.50,426.04,375.80
Cereals,Maize,2400.00,1574.35,1580.30,1617.88,1509.90,9508.48,12851.75
Cereals,Paddy(Common),2369.00,3476.60,3825.28,3845.22,581.91,3439.66,4612.32
Cereals,Wheat,2425.00,2224.62,2277.48,2254.83,1355.40,22832.75,26142.95
Fibre Crops,Cotton,7710.00,7824.78,7418.58,7657.90,53.01,362.98,388.67
Oil Seeds,Groundnut,7263.00,5745.79,5283.36,6045.00,8.59,47.16,1.64
Oil Seeds,Mustard,5950.00,6072.50,5985.60,5860.00,552.91,8326.85,8882.52
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,7800.00,8029.88,-,1.60,6.00,-
Oil Seeds,Soyabean,5328.00,4983.26,5309.01,5225.13,197.48,5757.74,6424.49
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7827.64,7756.69,7913.70,574.38,1078.87,1509.56
Pulses,Bengal Gram(Gram)(Whole),5650.00,5193.15,5203.60,5048.06,267.30,1953.33,2104.29
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7050.10,8689.13,8862.14,30.30,152.56,132.53
Pulses,Green Gram(Moong)(Whole),8768.00,-,6297.49,6495.12,-,86.05,87.51
Pulses,Lentil(Masur)(Whole),6700.00,-,6166.31,6208.68,-,1149.09,1826.07
Vegetables,Onion,-,1200.00,1157.11,972.13,4.00,874.81,877.09
Vegetables,Potato,-,-,408.21,505.67,-,808.13,859.47
Vegetables,Tomato,-,896.23,702.90,438.24,0.53,2.76,2.55

