state,commodity_group,commodity,price_date,price,source_date,price_type
Jammu and Kashmir,Vegetables,Onion,2026-01-31,2335.71,2026-02-03,Actual
Jammu and Kashmir,Vegetables,Onion,2026-01-30,2243.71,2026-02-03,Actual
Jammu and Kashmir,Vegetables,Potato,2026-01-31,1045.08,2026-02-03,Actual
Jammu and Kashmir,Vegetables,Potato,2026-01-30,885.03,2026-02-03,Actual
Jammu and Kashmir,Vegetables,Tomato,2026-01-31,2225.0,2026-02-03,Actual
Jammu and Kashmir,Vegetables,Tomato,2026-01-30,2517.72,2026-02-03,Actual
