,,,,Marketwise Price & Arrival Report (28-01-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 28 Jan, 2026","Price on 27 Jan, 2026","Price on 26 Jan, 2026","Arrival on 28 Jan, 2026","Arrival on 27 Jan, 2026","Arrival on 26 Jan, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2038.88,1986.92,1985.26,87.80,58.20,3.40
Cereals,Barley(Jau),1980.00,2300.00,2262.73,-,5.00,5.50,-
Cereals,Jowar(Sorghum),3699.00,2116.05,2199.50,2700.00,9.50,2.00,1.30
Cereals,Maize,2400.00,1565.17,1619.39,1750.00,609.62,569.86,2.20
Cereals,Paddy(Common),2369.00,3349.98,3349.92,-,17500.70,10001.20,-
Cereals,Wheat,2425.00,2554.84,2616.77,2460.00,1185.66,633.88,2.00
Fibre Crops,Cotton,7710.00,7745.18,7659.16,7740.00,447.10,250.80,12.20
Oil Seeds,Groundnut,7263.00,6018.36,6445.65,-,538.80,300.10,-
Oil Seeds,Mustard,5950.00,6532.71,6367.21,5300.00,1129.20,988.70,5.50
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,14140.48,-,-,2.10,-,-
Oil Seeds,Soyabean,5328.00,5280.11,4947.47,-,269.90,222.90,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6800.00,6210.00,-,9.44,5.04,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,5245.74,4946.48,5150.00,150.20,14.50,3.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6863.36,6226.27,-,228.30,80.50,-
Pulses,Green Gram(Moong)(Whole),8768.00,6952.98,6662.08,6729.82,967.60,325.65,16.50
Pulses,Lentil(Masur)(Whole),6700.00,5953.92,-,-,3.32,-,-
Vegetables,Onion,-,1345.30,1365.82,1239.14,408.60,327.35,144.10
Vegetables,Potato,-,581.43,515.15,647.37,327.10,324.30,127.60
Vegetables,Tomato,-,1404.47,1500.81,1171.37,73.80,73.70,55.90

