,,,,Marketwise Price & Arrival Report (16-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 16 Feb, 2026","Price on 15 Feb, 2026","Price on 14 Feb, 2026","Arrival on 16 Feb, 2026","Arrival on 15 Feb, 2026","Arrival on 14 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1878.60,2230.00,1884.52,64.40,0.30,3.10
Cereals,Barley(Jau),1980.00,2237.79,2350.00,2301.25,112.10,0.30,33.70
Cereals,Jowar(Sorghum),3699.00,3252.70,-,2275.00,11.10,-,1.00
Cereals,Maize,2400.00,1538.61,-,1504.72,383.54,-,359.40
Cereals,Paddy(Common),2369.00,3916.00,-,3675.00,5500.00,-,10500.00
Cereals,Wheat,2425.00,2478.03,2430.00,2410.88,618.80,55.10,607.80
Fibre Crops,Cotton,7710.00,7351.96,-,7415.01,182.30,-,55.90
Oil Seeds,Groundnut,7263.00,6247.98,-,-,155.70,-,-
Oil Seeds,Mustard,5950.00,5906.47,5600.00,6193.84,4944.80,30.50,3344.75
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,8900.00,-,-,0.60
Oil Seeds,Soyabean,5328.00,4953.61,-,5072.79,255.30,-,75.30
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6299.00,-,-,4.80,-,-
Pulses,Bengal Gram(Gram)(Whole),5650.00,5204.42,-,5264.97,103.60,-,106.10
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6591.26,-,6593.53,105.30,-,125.30
Pulses,Green Gram(Moong)(Whole),8768.00,6860.24,-,7318.32,460.30,-,167.70
Pulses,Lentil(Masur)(Whole),6700.00,5885.04,-,4781.00,7.88,-,3.00
Vegetables,Onion,-,1195.97,1080.67,1416.96,306.40,96.70,51.90
Vegetables,Potato,-,584.94,731.29,773.27,464.50,125.50,81.90
Vegetables,Tomato,-,938.30,1042.06,1307.08,156.40,34.00,11.30

