,,,,Marketwise Price & Arrival Report (09-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 09 Mar, 2026","Price on 08 Mar, 2026","Price on 07 Mar, 2026","Arrival on 09 Mar, 2026","Arrival on 08 Mar, 2026","Arrival on 07 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1864.39,-,1815.61,49.65,-,32.60
Cereals,Barley(Jau),1980.00,1887.76,2150.00,1867.33,185.26,9.00,111.36
Cereals,Jowar(Sorghum),3699.00,2250.00,-,-,0.40,-,-
Cereals,Maize,2400.00,1497.12,-,1540.65,294.46,-,257.38
Cereals,Paddy(Common),2369.00,3816.00,-,3490.00,5500.00,-,8500.00
Cereals,Wheat,2425.00,2325.34,2205.00,2295.32,1741.98,13.00,1898.01
Fibre Crops,Cotton,7710.00,7338.86,-,7251.42,59.90,-,67.50
Oil Seeds,Groundnut,7263.00,7014.34,-,6900.00,97.10,-,180.00
Oil Seeds,Mustard,5950.00,6018.08,6321.39,5984.03,14451.64,1693.90,9968.41
Oil Seeds,Soyabean,5328.00,5110.59,-,5011.22,164.32,-,196.24
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6000.00,-,6125.00,0.80,-,0.16
Pulses,Bengal Gram(Gram)(Whole),5650.00,4993.02,4829.03,4818.13,153.70,15.50,69.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6219.55,-,5843.71,43.70,-,31.50
Pulses,Green Gram(Moong)(Whole),8768.00,6763.02,-,6747.68,162.40,-,142.40
Pulses,Lentil(Masur)(Whole),6700.00,6346.81,-,5888.43,2.88,-,6.64
Vegetables,Onion,-,863.91,1467.88,902.18,769.70,32.10,13.30
Vegetables,Potato,-,652.61,710.86,615.74,272.60,109.60,88.30
Vegetables,Tomato,-,1687.84,1181.90,1699.95,417.60,26.80,5.60

