,,,,Marketwise Price & Arrival Report (10-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Mar, 2026","Price on 09 Mar, 2026","Price on 08 Mar, 2026","Arrival on 10 Mar, 2026","Arrival on 09 Mar, 2026","Arrival on 08 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1797.76,1864.39,-,19.00,49.65,-
Cereals,Barley(Jau),2150.00,1979.73,1887.76,2150.00,91.68,185.26,9.00
Cereals,Jowar(Sorghum),3699.00,2200.00,2250.00,-,0.90,0.40,-
Cereals,Maize,2400.00,1422.13,1497.12,-,240.20,294.46,-
Cereals,Paddy(Common),2369.00,3819.00,3816.00,-,7500.00,5500.00,-
Cereals,Wheat,2585.00,2338.09,2325.34,2205.00,1384.94,1741.98,13.00
Fibre Crops,Cotton,7710.00,7262.98,7338.86,-,55.80,59.90,-
Oil Seeds,Groundnut,7263.00,6950.00,7014.34,-,120.00,97.10,-
Oil Seeds,Mustard,6200.00,5986.27,6018.08,6321.39,12079.02,14451.64,1693.90
Oil Seeds,Soyabean,5328.00,5179.31,5110.59,-,168.00,164.32,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,6300.00,6000.00,-,0.64,0.80,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,4888.87,4993.02,4829.03,41.80,153.70,15.50
Pulses,Black Gram(Urd Beans)(Whole),7800.00,5538.67,6219.55,-,7.50,43.70,-
Pulses,Green Gram(Moong)(Whole),8768.00,6622.73,6763.02,-,89.90,162.40,-
Pulses,Lentil(Masur)(Whole),7000.00,6340.54,6346.81,-,3.70,2.88,-
Vegetables,Onion,-,821.41,863.91,1467.88,792.60,769.70,32.10
Vegetables,Potato,-,699.55,652.61,710.86,496.80,272.60,109.60
Vegetables,Tomato,-,1583.25,1687.84,1181.90,369.50,417.60,26.80

