,,,,Marketwise Price & Arrival Report (17-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 17 Mar, 2026","Price on 16 Mar, 2026","Price on 15 Mar, 2026","Arrival on 17 Mar, 2026","Arrival on 16 Mar, 2026","Arrival on 15 Mar, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,1895.24,1857.33,2250.00,33.10,24.30,18.50
Cereals,Barley(Jau),2150.00,1812.32,1791.57,1891.30,1281.50,471.20,79.70
Cereals,Jowar(Sorghum),3699.00,2371.71,2200.00,2350.00,3.50,1.00,1.80
Cereals,Maize,2400.00,1504.76,1756.63,1770.12,196.30,111.50,79.40
Cereals,Paddy(Common),2369.00,3215.00,-,-,5500.00,-,-
Cereals,Wheat,2585.00,2289.05,2457.00,2955.90,1245.10,1324.90,109.60
Fibre Crops,Cotton,7710.00,7525.86,7261.73,-,2.90,34.40,-
Oil Seeds,Groundnut,7263.00,5811.00,6673.75,-,6.50,98.90,-
Oil Seeds,Mustard,6200.00,5940.54,6152.57,6243.20,14720.00,33896.40,5523.90
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9500.00,11800.00,8900.00,0.30,0.50,0.20
Oil Seeds,Soyabean,5328.00,5170.05,4999.50,-,45.50,104.80,-
Pulses,Bengal Gram(Gram)(Whole),5875.00,4945.74,5061.38,4983.58,710.40,329.30,208.50
Pulses,Black Gram(Urd Beans)(Whole),7800.00,6473.87,5617.50,-,55.50,1.20,-
Pulses,Green Gram(Moong)(Whole),8768.00,5828.33,5991.37,5900.00,49.60,76.80,10.90
Pulses,Lentil(Masur)(Whole),7000.00,6759.08,6754.21,-,35.80,32.76,-
Vegetables,Onion,-,914.24,840.84,666.73,2096.70,1725.95,957.90
Vegetables,Potato,-,628.41,659.18,619.13,332.10,106.20,81.80
Vegetables,Tomato,-,1009.25,1001.39,955.47,389.30,71.80,26.50

