,,,,Marketwise Price & Arrival Report (19-03-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 19 Mar, 2026","Price on 18 Mar, 2026","Price on 17 Mar, 2026","Arrival on 19 Mar, 2026","Arrival on 18 Mar, 2026","Arrival on 17 Mar, 2026"
Oil Seeds,Copra,12100.00,15848.21,15602.82,11800.00,11.20,14.20,0.20
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,12700.00,11566.67,12700.00,1.00,3.00,1.00
Pulses,Bengal Gram(Gram)(Whole),5875.00,7850.00,7850.00,8300.00,2.00,2.00,1.00
Pulses,Black Gram(Urd Beans)(Whole),7800.00,11633.33,12180.00,11633.33,3.00,5.00,3.00
Pulses,Green Gram(Moong)(Whole),8768.00,11766.67,11766.67,11766.67,3.00,3.00,3.00
Vegetables,Onion,-,2587.90,2661.87,2500.97,293.99,396.87,192.90
Vegetables,Potato,-,2739.36,2908.95,3001.82,87.70,148.12,127.50
Vegetables,Tomato,-,2889.74,3141.13,2530.88,49.98,183.73,298.05

