state,commodity_group,commodity,price_date,price,source_date,price_type
Himachal Pradesh,Vegetables,Onion,2026-02-14,2005.71,2026-02-16,Actual
Himachal Pradesh,Vegetables,Onion,2026-02-13,2038.18,2026-02-16,Actual
Himachal Pradesh,Vegetables,Onion,2026-02-12,2032.29,2026-02-16,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-14,774.44,2026-02-16,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-13,877.24,2026-02-16,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-12,914.25,2026-02-16,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-14,1930.63,2026-02-16,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-13,2104.95,2026-02-16,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-12,2063.41,2026-02-16,Actual
