state,commodity_group,commodity,price_date,price,source_date,price_type
Himachal Pradesh,Vegetables,Onion,2026-02-23,2039.32,2026-02-25,Actual
Himachal Pradesh,Vegetables,Onion,2026-02-22,2241.67,2026-02-25,Actual
Himachal Pradesh,Vegetables,Onion,2026-02-21,2029.78,2026-02-25,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-23,838.12,2026-02-25,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-22,1221.74,2026-02-25,Actual
Himachal Pradesh,Vegetables,Potato,2026-02-21,823.65,2026-02-25,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-23,2398.84,2026-02-25,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-22,2433.33,2026-02-25,Actual
Himachal Pradesh,Vegetables,Tomato,2026-02-21,2377.57,2026-02-25,Actual
