state,commodity,predicted_date,predicted_price,confidence_score
Goa,Onion,2026-01-29,1435.5,MEDIUM
Goa,Onion,2026-01-30,1450.0,MEDIUM
Goa,Onion,2026-01-31,1464.5,MEDIUM
Goa,Potato,2026-01-29,1336.5,MEDIUM
Goa,Potato,2026-01-30,1350.0,MEDIUM
Goa,Potato,2026-01-31,1363.5,MEDIUM
